Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443888621 , Gap_End_2 : 1443890263, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.380714 , Lat2 : -4.4872584 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228336000 , Gap_End_1 : 1443777259 , Gap_End_2 : 1443893563, GeoHash : gbse8, Lon1 : 48.437466 , Lat1 : -4.899465, Lon2 : 48.45989 , Lat2 : -4.907183 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228336000 , Gap_End_1 : 1443796674 , Gap_End_2 : 1443894593, GeoHash : gbse3, Lon1 : 48.40523 , Lat1 : -4.859648, Lon2 : 48.427555 , Lat2 : -4.8675866 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228186700 , Gap_End_1 : 1443890263 , Gap_End_2 : 1443896391, GeoHash : gbsg1, Lon1 : 48.380714 , Lat1 : -4.4872584, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228813000 , Gap_End_1 : 1443799970 , Gap_End_2 : 1443902661, GeoHash : gbse2, Lon1 : 48.403748 , Lat1 : -4.917683, Lon2 : 48.404015 , Lat2 : -4.915675 }
Suspicious RendezVous : { Vessel_1 : 235073404, Vessel_2 : 304523000 , Gap_End_1 : 1443832383 , Gap_End_2 : 1443902904, GeoHash : gbkx3, Lon1 : 47.718662 , Lat1 : -4.847397, Lon2 : 47.695667 , Lat2 : -4.8488317 }
Suspicious RendezVous : { Vessel_1 : 235073404, Vessel_2 : 304523000 , Gap_End_1 : 1443831278 , Gap_End_2 : 1443904403, GeoHash : gbkrx, Lon1 : 47.75951 , Lat1 : -4.942275, Lon2 : 47.730335 , Lat2 : -4.931665 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443896391 , Gap_End_2 : 1443906953, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.380714 , Lat2 : -4.4872665 }
Suspicious RendezVous : { Vessel_1 : 228336000, Vessel_2 : 226084000 , Gap_End_1 : 1443848513 , Gap_End_2 : 1443913940, GeoHash : gbsdf, Lon1 : 48.3325 , Lat1 : -4.80305, Lon2 : 48.33933 , Lat2 : -4.828562 }
Suspicious RendezVous : { Vessel_1 : 227704000, Vessel_2 : 227988000 , Gap_End_1 : 1443889912 , Gap_End_2 : 1443914456, GeoHash : gbse4, Lon1 : 48.350746 , Lat1 : -4.7970934, Lon2 : 48.377415 , Lat2 : -4.8152585 }
Suspicious RendezVous : { Vessel_1 : 227312180, Vessel_2 : 226084000 , Gap_End_1 : 1443873505 , Gap_End_2 : 1443914880, GeoHash : gbsdb, Lon1 : 48.32802 , Lat1 : -4.904565, Lon2 : 48.328266 , Lat2 : -4.88703 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443906953 , Gap_End_2 : 1443939865, GeoHash : gbsg1, Lon1 : 48.380714 , Lat1 : -4.4872665, Lon2 : 48.379135 , Lat2 : -4.4840584 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443936430 , Gap_End_2 : 1443939865, GeoHash : gbsg1, Lon1 : 48.38069 , Lat1 : -4.48727, Lon2 : 48.379135 , Lat2 : -4.4840584 }
